C_SO2_1H,I_SO2_1H,C_NO2_1H,I_NO2_1H,C_PM10_1H,I_PM10_24H_MV,C_CO1_1H,I_CO1_1H,C_O3_1H,I_O3_1H,C_PM25_1H,I_PM25_24H_MV,AQI_,PRIMARY_POLLUTANTS__-,PRIMARY_POLLUTANTS__NO2,"PRIMARY_POLLUTANTS__NO2,PM10","PRIMARY_POLLUTANTS__NO2,PM2.5",PRIMARY_POLLUTANTS__O3-1小时,"PRIMARY_POLLUTANTS__O3-1小时,PM2.5",PRIMARY_POLLUTANTS__PM10,"PRIMARY_POLLUTANTS__PM10,O3-1小时","PRIMARY_POLLUTANTS__PM10,PM2.5",PRIMARY_POLLUTANTS__PM2.5,LEVEL__一级,LEVEL__三级,LEVEL__二级,LEVEL__五级,LEVEL__六级,LEVEL__四级,CATEGORY__严重污染,CATEGORY__中度污染,CATEGORY__优,CATEGORY__良,CATEGORY__轻度污染,CATEGORY__重度污染,COLOR__橙色,COLOR__紫色,COLOR__红色,COLOR__绿色,COLOR__褐红色,COLOR__黄色,STATE__正常,label
33.0,11.0,126.0,63.0,279.0,165.0,1.875,19.0,11.0,4.0,177.0,227.0,227.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,227.0
34.0,12.0,125.0,63.0,302.0,176.0,1.997,20.0,11.0,4.0,185.0,235.0,235.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,235.0
32.0,11.0,121.0,61.0,308.0,179.0,1.952,20.0,11.0,4.0,225.0,275.0,275.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,275.0
36.0,12.0,118.0,59.0,366.0,223.0,1.878,19.0,10.0,4.0,226.0,276.0,276.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,276.0
37.0,13.0,110.0,55.0,394.0,263.0,1.833,19.0,10.0,4.0,221.0,271.0,271.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,271.0
35.0,12.0,97.0,49.0,375.0,236.0,1.979,20.0,11.0,4.0,212.0,262.0,262.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,262.0
31.0,11.0,77.0,39.0,338.0,194.0,2.031,21.0,10.0,4.0,209.0,259.0,259.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,259.0
30.0,10.0,71.0,36.0,321.0,186.0,2.011,21.0,10.0,4.0,219.0,269.0,269.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,269.0
29.0,10.0,73.0,37.0,335.0,193.0,1.997,20.0,10.0,4.0,216.0,266.0,266.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,266.0
30.0,10.0,94.0,47.0,322.0,186.0,1.987,20.0,11.0,4.0,224.0,274.0,274.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,274.0
33.0,11.0,125.0,63.0,371.0,230.0,2.074,21.0,12.0,4.0,219.0,269.0,269.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,269.0
