city,year,weekofyear,total_cases
sj,2008,18,16
sj,2008,19,20
sj,2008,20,16
sj,2008,21,20
sj,2008,22,14
sj,2008,23,24
sj,2008,24,25
sj,2008,25,21
sj,2008,26,21
sj,2008,27,20
sj,2008,28,92
sj,2008,29,29
sj,2008,30,33
sj,2008,31,35
sj,2008,32,31
sj,2008,33,16
sj,2008,34,7
sj,2008,35,72
sj,2008,36,63
sj,2008,37,54
sj,2008,38,65
sj,2008,39,59
sj,2008,40,70
sj,2008,41,145
sj,2008,42,28
sj,2008,43,74
sj,2008,44,51
sj,2008,45,24
sj,2008,46,35
sj,2008,47,28
sj,2008,48,47
sj,2008,49,36
sj,2008,50,32
sj,2008,51,23
sj,2008,52,12
sj,2009,1,16
sj,2009,2,18
sj,2009,3,16
sj,2009,4,29
sj,2009,5,15
sj,2009,6,16
sj,2009,7,20
sj,2009,8,25
sj,2009,9,14
sj,2009,10,14
sj,2009,11,12
sj,2009,12,13
sj,2009,13,13
sj,2009,14,12
sj,2009,15,13
sj,2009,16,17
sj,2009,17,15
sj,2009,18,18
sj,2009,19,15
sj,2009,20,11
sj,2009,21,11
sj,2009,22,14
sj,2009,23,27
sj,2009,24,25
sj,2009,25,37
sj,2009,26,47
sj,2009,27,23
sj,2009,28,36
sj,2009,29,53
sj,2009,30,22
sj,2009,31,18
sj,2009,32,24
sj,2009,33,30
sj,2009,34,37
sj,2009,35,4
sj,2009,36,31
sj,2009,37,33
sj,2009,38,53
sj,2009,39,47
sj,2009,40,41
sj,2009,41,23
sj,2009,42,17
sj,2009,43,27
sj,2009,44,64
sj,2009,45,83
sj,2009,46,48
sj,2009,47,28
sj,2009,48,20
sj,2009,49,35
sj,2009,50,47
sj,2009,51,36
sj,2009,52,27
sj,2010,53,31
sj,2010,1,25
sj,2010,2,27
sj,2010,3,27
sj,2010,4,20
sj,2010,5,20
sj,2010,6,27
sj,2010,7,31
sj,2010,8,12
sj,2010,9,18
sj,2010,10,15
sj,2010,11,17
sj,2010,12,56
sj,2010,13,16
sj,2010,14,17
sj,2010,15,35
sj,2010,16,29
sj,2010,17,8
sj,2010,18,12
sj,2010,19,41
sj,2010,20,29
sj,2010,21,52
sj,2010,22,38
sj,2010,23,81
sj,2010,24,20
sj,2010,25,67
sj,2010,26,60
sj,2010,27,86
sj,2010,28,64
sj,2010,29,53
sj,2010,30,84
sj,2010,31,59
sj,2010,32,73
sj,2010,33,78
sj,2010,34,61
sj,2010,35,106
sj,2010,36,92
sj,2010,37,75
sj,2010,38,64
sj,2010,39,59
sj,2010,40,67
sj,2010,41,83
sj,2010,42,40
sj,2010,43,62
sj,2010,44,79
sj,2010,45,28
sj,2010,46,41
sj,2010,47,24
sj,2010,48,32
sj,2010,49,24
sj,2010,50,17
sj,2010,51,16
sj,2011,52,16
sj,2011,1,21
sj,2011,2,16
sj,2011,3,18
sj,2011,4,19
sj,2011,5,60
sj,2011,6,20
sj,2011,7,15
sj,2011,8,15
sj,2011,9,16
sj,2011,10,11
sj,2011,11,16
sj,2011,12,14
